  1031.65625     0.03745    -0.60670     0.25485     0.76461     0.13923     1.19141 -4.2909E-03
  1031.68750     0.06131    -0.60195     0.29189     0.76272     0.16464     1.17922 -4.2860E-03
  1031.71875     0.08511    -0.59642     0.32854     0.75992     0.18893     1.16587 -4.2813E-03
  1031.75000     0.10880    -0.59016     0.36475     0.75630     0.21201     1.15150 -4.2767E-03
  1031.78125     0.13237    -0.58319     0.40050     0.75196     0.23382     1.13630 -4.2724E-03
  1031.81250     0.15579    -0.57556     0.43576     0.74698     0.25434     1.12041 -4.2682E-03
  1031.84375     0.17905    -0.56730     0.47052     0.74146     0.27354     1.10401 -4.2643E-03
  1031.87500     0.20213    -0.55847     0.50476     0.73547     0.29144     1.08723 -4.2606E-03
  1031.90625     0.22501    -0.54910     0.53847     0.72910     0.30807     1.07019 -4.2571E-03
  1031.93750     0.24769    -0.53923     0.57164     0.72242     0.32347     1.05302 -4.2538E-03
  1031.96875     0.27016    -0.52890     0.60428     0.71551     0.33767     1.03580 -4.2506E-03
  1032.00000     0.29241    -0.51814     0.63638     0.70843     0.35074     1.01863 -4.2477E-03
  1032.03125     0.31444    -0.50699     0.66795     0.70122     0.36273     1.00159 -4.2449E-03
  1032.06250     0.33624    -0.49548     0.69898     0.69394     0.37371     0.98472 -4.2423E-03
  1032.09375     0.35781    -0.48364     0.72949     0.68663     0.38374     0.96808 -4.2398E-03
  1032.12500     0.37915    -0.47150     0.75949     0.67932     0.39288     0.95171 -4.2375E-03
  1032.15625     0.40027    -0.45909     0.78898     0.67204     0.40119     0.93564 -4.2353E-03
  1032.18750     0.42115    -0.44644     0.81797     0.66481     0.40873     0.91989 -4.2333E-03
  1032.21875     0.44182    -0.43356     0.84648     0.65767     0.41556     0.90449 -4.2314E-03
  1032.25000     0.46226    -0.42047     0.87450     0.65062     0.42172     0.88944 -4.2296E-03
  1032.28125     0.48248    -0.40720     0.90207     0.64368     0.42728     0.87475 -4.2279E-03
  1032.31250     0.50249    -0.39377     0.92918     0.63685     0.43226     0.86043 -4.2264E-03
  1032.34375     0.52229    -0.38019     0.95585     0.63016     0.43673     0.84647 -4.2249E-03
  1032.37500     0.54188    -0.36648     0.98209     0.62360     0.44072     0.83288 -4.2235E-03
  1032.40625     0.56126    -0.35265     1.00791     0.61717     0.44426     0.81965 -4.2222E-03
  1032.43750     0.58045    -0.33872     1.03332     0.61089     0.44740     0.80678 -4.2210E-03
  1032.46875     0.59945    -0.32470     1.05834     0.60475     0.45016     0.79426 -4.2198E-03
  1032.50000     0.61825    -0.31059     1.08297     0.59875     0.45258     0.78207 -4.2188E-03
  1032.53125     0.63687    -0.29641     1.10722     0.59290     0.45467     0.77023 -4.2178E-03
  1032.56250     0.65531    -0.28217     1.13111     0.58719     0.45648     0.75870 -4.2168E-03
  1032.59375     0.67357    -0.26789     1.15464     0.58162     0.45801     0.74750 -4.2159E-03
  1032.62500     0.69166    -0.25355     1.17783     0.57619     0.45930     0.73660 -4.2151E-03
  1032.65625     0.70958    -0.23918     1.20068     0.57090     0.46035     0.72600 -4.2143E-03
  1032.68750     0.72734    -0.22478     1.22321     0.56574     0.46120     0.71568 -4.2136E-03
  1032.71875     0.74494    -0.21036     1.24541     0.56071     0.46184     0.70564 -4.2129E-03
  1032.75000     0.76239    -0.19592     1.26731     0.55581     0.46231     0.69588 -4.2122E-03
  1032.78125     0.77968    -0.18147     1.28891     0.55104     0.46262     0.68637 -4.2116E-03
  1032.81250     0.79683    -0.16701     1.31021     0.54638     0.46277     0.67711 -4.2110E-03
  1032.84375     0.81383    -0.15254     1.33123     0.54185     0.46278     0.66809 -4.2105E-03
  1032.87500     0.83070    -0.13808     1.35197     0.53743     0.46266     0.65931 -4.2099E-03
  1032.90625     0.84742    -0.12363     1.37244     0.53313     0.46242     0.65075 -4.2095E-03
  1032.93750     0.86402    -0.10918     1.39265     0.52893     0.46207     0.64241 -4.2090E-03
  1032.96875     0.88048    -0.09475     1.41259     0.52485     0.46162     0.63428 -4.2086E-03
  1033.00000     0.89682    -0.08033     1.43229     0.52086     0.46107     0.62635 -4.2082E-03
  1033.03125     0.91304    -0.06593     1.45174     0.51697     0.46043     0.61862 -4.2078E-03
  1033.06250     0.92913    -0.05156     1.47096     0.51318     0.45972     0.61107 -4.2074E-03
  1033.09375     0.94511    -0.03720     1.48994     0.50949     0.45893     0.60371 -4.2071E-03
  1033.12500     0.96098    -0.02288     1.50869     0.50588     0.45807     0.59652 -4.2068E-03
  1033.15625     0.97673    -0.00857     1.52722     0.50237     0.45714     0.58950 -4.2065E-03
  1033.18750     0.99238     0.00570     1.54553     0.49894     0.45616     0.58264 -4.2062E-03
  1033.21875     1.00792     0.01993     1.56364     0.49559     0.45512     0.57594 -4.2059E-03
  1033.25000     1.02335     0.03414     1.58153     0.49232     0.45403     0.56939 -4.2057E-03
  1033.28125     1.03869     0.04831     1.59923     0.48913     0.45290     0.56299 -4.2055E-03
  1033.31250     1.05392     0.06245     1.61672     0.48602     0.45172     0.55673 -4.2052E-03
  1033.34375     1.06906     0.07654     1.63402     0.48298     0.45051     0.55060 -4.2050E-03
  1033.37500     1.08411     0.09060     1.65113     0.48001     0.44925     0.54461 -4.2048E-03
  1033.40625     1.09906     0.10462     1.66806     0.47710     0.44796     0.53875 -4.2047E-03
  1033.43750     1.11393     0.11860     1.68481     0.47427     0.44665     0.53301 -4.2045E-03
  1033.46875     1.12871     0.13254     1.70138     0.47150     0.44530     0.52739 -4.2043E-03
  1033.50000     1.14340     0.14643     1.71777     0.46879     0.44392     0.52188 -4.2042E-03
  1033.53125     1.15801     0.16028     1.73399     0.46614     0.44253     0.51649 -4.2041E-03
  1033.56250     1.17253     0.17409     1.75005     0.46355     0.44110     0.51121 -4.2039E-03
  1033.59375     1.18698     0.18785     1.76595     0.46102     0.43966     0.50603 -4.2038E-03
  1033.62500     1.20135     0.20157     1.78168     0.45855     0.43820     0.50095 -4.2037E-03
  1033.65625     1.21564     0.21524     1.79726     0.45612     0.43673     0.49597 -4.2036E-03
  1033.68750     1.22986     0.22886     1.81268     0.45375     0.43523     0.49109 -4.2035E-03
  1033.71875     1.24400     0.24244     1.82795     0.45144     0.43373     0.48629 -4.2034E-03
  1033.75000     1.25807     0.25597     1.84307     0.44916     0.43221     0.48159 -4.2033E-03
  1033.78125     1.27207     0.26945     1.85805     0.44694     0.43067     0.47698 -4.2033E-03
  1033.81250     1.28601     0.28289     1.87289     0.44477     0.42913     0.47245 -4.2032E-03
  1033.84375     1.29987     0.29627     1.88758     0.44263     0.42758     0.46800 -4.2031E-03
  1033.87500     1.31367     0.30961     1.90214     0.44055     0.42602     0.46363 -4.2031E-03
  1033.90625     1.32741     0.32290     1.91656     0.43850     0.42445     0.45934 -4.2030E-03
  1033.93750     1.34108     0.33614     1.93085     0.43650     0.42287     0.45512 -4.2030E-03
  1033.96875     1.35469     0.34933     1.94500     0.43454     0.42129     0.45098 -4.2030E-03
  1034.00000     1.36824     0.36247     1.95903     0.43261     0.41970     0.44691 -4.2029E-03
  1034.03125     1.38173     0.37556     1.97294     0.43072     0.41810     0.44290 -4.2029E-03
  1034.06250     1.39516     0.38860     1.98671     0.42887     0.41651     0.43897 -4.2029E-03
  1034.09375     1.40853     0.40159     2.00037     0.42706     0.41491     0.43509 -4.2029E-03
  1034.12500     1.42185     0.41453     2.01391     0.42528     0.41330     0.43129 -4.2028E-03
  1034.15625     1.43511     0.42742     2.02733     0.42354     0.41170     0.42754 -4.2028E-03
  1034.18750     1.44832     0.44026     2.04063     0.42183     0.41009     0.42385 -4.2028E-03
  1034.21875     1.46148     0.45305     2.05382     0.42015     0.40848     0.42022 -4.2028E-03
  1034.25000     1.47458     0.46579     2.06690     0.41850     0.40687     0.41665 -4.2028E-03
  1034.28125     1.48763     0.47848     2.07986     0.41688     0.40526     0.41313 -4.2028E-03
  1034.31250     1.50064     0.49112     2.09272     0.41530     0.40364     0.40967 -4.2028E-03
  1034.34375     1.51359     0.50371     2.10547     0.41374     0.40203     0.40626 -4.2028E-03
  1034.37500     1.52649     0.51625     2.11811     0.41221     0.40042     0.40290 -4.2029E-03
  1034.40625     1.53935     0.52874     2.13065     0.41070     0.39881     0.39959 -4.2029E-03
  1034.43750     1.55216     0.54117     2.14308     0.40923     0.39720     0.39633 -4.2029E-03
  1034.46875     1.56493     0.55356     2.15542     0.40778     0.39559     0.39312 -4.2029E-03
  1034.50000     1.57765     0.56590     2.16765     0.40636     0.39398     0.38995 -4.2029E-03
  1034.53125     1.59033     0.57818     2.17979     0.40496     0.39238     0.38683 -4.2030E-03
  1034.56250     1.60296     0.59042     2.19183     0.40358     0.39077     0.38375 -4.2030E-03
  1034.59375     1.61555     0.60261     2.20378     0.40223     0.38917     0.38071 -4.2030E-03
  1034.62500     1.62810     0.61474     2.21563     0.40090     0.38757     0.37772 -4.2030E-03
  1034.65625     1.64061     0.62683     2.22738     0.39960     0.38598     0.37477 -4.2031E-03
  1034.68750     1.65308     0.63887     2.23905     0.39831     0.38438     0.37185 -4.2031E-03
  1034.71875     1.66550     0.65086     2.25062     0.39705     0.38279     0.36898 -4.2032E-03
  1034.75000     1.67789     0.66279     2.26211     0.39581     0.38120     0.36614 -4.2032E-03
  1034.78125     1.69024     0.67468     2.27351     0.39459     0.37962     0.36335 -4.2032E-03
  1034.81250     1.70255     0.68652     2.28482     0.39339     0.37803     0.36058 -4.2033E-03
  1034.84375     1.71483     0.69831     2.29605     0.39221     0.37646     0.35786 -4.2033E-03
  1034.87500     1.72707     0.71005     2.30719     0.39104     0.37488     0.35517 -4.2034E-03
  1034.90625     1.73927     0.72174     2.31824     0.38990     0.37331     0.35251 -4.2034E-03
  1034.93750     1.75144     0.73338     2.32922     0.38878     0.37174     0.34989 -4.2035E-03
  1034.96875     1.76357     0.74497     2.34011     0.38767     0.37018     0.34729 -4.2035E-03
  1035.00000     1.77566     0.75652     2.35092     0.38658     0.36861     0.34474 -4.2036E-03
  1035.03125     1.78773     0.76801     2.36166     0.38550     0.36706     0.34221 -4.2036E-03
  1035.06250     1.79976     0.77946     2.37231     0.38445     0.36550     0.33971 -4.2037E-03
  1035.09375     1.81176     0.79085     2.38289     0.38341     0.36396     0.33724 -4.2037E-03
  1035.12500     1.82372     0.80220     2.39339     0.38238     0.36241     0.33480 -4.2038E-03
  1035.15625     1.83566     0.81350     2.40382     0.38137     0.36087     0.33239 -4.2038E-03
  1035.18750     1.84756     0.82476     2.41417     0.38038     0.35933     0.33001 -4.2039E-03
  1035.21875     1.85943     0.83596     2.42444     0.37940     0.35780     0.32766 -4.2040E-03
  1035.25000     1.87127     0.84712     2.43464     0.37844     0.35627     0.32533 -4.2040E-03
  1035.28125     1.88308     0.85823     2.44478     0.37749     0.35475     0.32303 -4.2041E-03
  1035.31250     1.89486     0.86929     2.45483     0.37655     0.35322     0.32075 -4.2041E-03
  1035.34375     1.90662     0.88031     2.46482     0.37563     0.35171     0.31850 -4.2042E-03
  1035.37500     1.91834     0.89127     2.47474     0.37472     0.35020     0.31628 -4.2043E-03
  1035.40625     1.93004     0.90219     2.48459     0.37382     0.34869     0.31408 -4.2043E-03
  1035.43750     1.94170     0.91307     2.49437     0.37293     0.34719     0.31190 -4.2044E-03
  1035.46875     1.95334     0.92389     2.50408     0.37206     0.34569     0.30975 -4.2045E-03
  1035.50000     1.96496     0.93467     2.51373     0.37120     0.34419     0.30762 -4.2045E-03
  1035.53125     1.97655     0.94540     2.52331     0.37036     0.34270     0.30551 -4.2046E-03
  1035.56250     1.98811     0.95609     2.53282     0.36952     0.34122     0.30342 -4.2047E-03
  1035.59375     1.99964     0.96673     2.54227     0.36870     0.33973     0.30136 -4.2047E-03
  1035.62500     2.01115     0.97732     2.55166     0.36788     0.33826     0.29931 -4.2048E-03
